ClientName,InstallerURL
4C for Children,https://app.ninjarmm.com/agent/installer/28bb963a-cc36-4fde-884e-3813fe927283/4cforchildrenmainofficec33c71-5.9.1158-windows-installer.msi
Acclaim Home Health,https://app.ninjarmm.com/agent/installer/e42c7542-1322-4202-bbd2-bc393dde4cc7/acclaimhomehealthmainoffice20fffa-5.9.1158-windows-installer.msi
Affordable Fasteners,https://app.ninjarmm.com/agent/installer/2f9f763b-c190-4e65-b57b-ba162a583514/affordablefastenersmainoffice8709ff-5.9.1158-windows-installer.msi
Allergy & Asthma,https://app.ninjarmm.com/agent/installer/85085ac2-cae7-4f52-bef6-6fc533932e7e/allergyasthmamainofficed56bb0-5.9.1158-windows-installer.msi
Alphamark,https://app.ninjarmm.com/agent/installer/bc8db0d2-ed8e-405c-b957-79e3df5c959e/alphamarkmainoffice82c7bc-5.9.1158-windows-installer.msi
Ammon Nursery,https://app.ninjarmm.com/agent/installer/35fc8388-af72-487a-9d46-c3d7536b59d4/ammonnurserymainoffice41c73d-5.9.1158-windows-installer.msi
Anchor Properties,https://app.ninjarmm.com/agent/installer/fb796ff0-2857-4216-8ecc-40b01a672326/anchorpropertiesmainofficece80b0-5.9.1158-windows-installer.msi
Anderson Endoscopy Center,https://app.ninjarmm.com/agent/installer/a7f82297-eb00-4178-ad10-24c68bbf4779/andersonendoscopycentermainoffice420866-5.9.1158-windows-installer.msi
AR Design,https://app.ninjarmm.com/agent/installer/12d26036-a59c-46b4-b42a-bf1543afbdd2/ardesignmainoffice02f3d9-5.9.1158-windows-installer.msi
Bachmans,https://app.ninjarmm.com/agent/installer/273fc0c4-fa0a-487d-a0bf-0806e29086d4/bachmansmainofficeccb155-5.9.1158-windows-installer.msi
Bansal,https://app.ninjarmm.com/agent/installer/34989ce0-c25f-4911-b28b-76663fdd0030/bansalmainofficea7add2-5.9.1158-windows-installer.msi
Baptist Bible Hour,https://app.ninjarmm.com/agent/installer/2181f7d6-f620-48ae-aebc-b6e62ce95334/baptistbiblehourmainoffice22228d-5.9.1158-windows-installer.msi
Becker Gallagher,https://app.ninjarmm.com/agent/installer/7fbcfaf1-8ea7-4b25-b6e4-305412351d13/beckergallaghermainofficef9f3b5-5.9.1158-windows-installer.msi
Bernstein Allergy,https://app.ninjarmm.com/agent/installer/cee209f7-9cd3-43f3-9862-8e1f20eef6d7/bernsteinallergymainofficed9935c-5.9.1158-windows-installer.msi
Bertke Electric,https://app.ninjarmm.com/agent/installer/bc790bab-65cf-408a-8c94-2831f45c64d7/bertkeelectricmainofficed65b49-5.9.1158-windows-installer.msi
Blessed Sacrament Church (BSCKY),https://app.ninjarmm.com/agent/installer/9c5647b2-0c84-443c-a799-edf79bf0751d/blessedsacramentchurchbsckymainoffice1ad320-5.9.1158-windows-installer.msi
Blessed Sacrament School (BSSKY),https://app.ninjarmm.com/agent/installer/01387b87-bbe8-4e23-b137-8747efdd8c3b/blessedsacramentschoolbsskymainofficee51bb8-5.9.1158-windows-installer.msi
Blum,https://app.ninjarmm.com/agent/installer/99022086-13c4-49b2-8aef-9eb1b5e7d23f/blummainoffice3a10d8-5.9.1158-windows-installer.msi
Calderhead Law Office,https://app.ninjarmm.com/agent/installer/d632b7d1-c28f-4342-a56c-d572c8f5fed5/calderheadlawofficemainofficea3db5b-5.9.1158-windows-installer.msi
Caracole,https://app.ninjarmm.com/agent/installer/9217c338-d11a-4895-85d2-6152e3d09a39/caracolemainofficee084be-5.9.1158-windows-installer.msi
Cardinal Pacelli,https://app.ninjarmm.com/agent/installer/e318cf93-007f-4fe6-9c1c-e4700f4ad106/cardinalpacellimainofficef76cf9-5.9.1158-windows-installer.msi
Catholic Charities,https://app.ninjarmm.com/agent/installer/e9036f05-c6a1-49cf-84fb-3a529efd12d4/catholiccharitiesmainoffice2e35d1-5.9.1158-windows-installer.msi
Center Bank,https://app.ninjarmm.com/agent/installer/97140fdc-d263-4ebd-a109-dacd54aea82e/centerbankmainofficedc727b-5.9.1158-windows-installer.msi
Chass Seligman,https://app.ninjarmm.com/agent/installer/271615fa-59ec-471f-841c-9cefe6c9c5f3/chassseligmanmainoffice4b843d-5.9.1158-windows-installer.msi
CHNK,https://app.ninjarmm.com/agent/installer/cf708de5-2afe-4533-ae83-2a5f9bedc099/chnkmainofficeafe5a4-5.9.1158-windows-installer.msi
Cincinnati Gasket,https://app.ninjarmm.com/agent/installer/b3b86ea4-0389-40ae-a2dc-7bc834b11818/cincinnatigasketmainofficefa75d0-5.9.1158-windows-installer.msi
Cincinnati GI,https://app.ninjarmm.com/agent/installer/c77cf498-023f-441b-bab1-9b7712bfd2fd/cincinnatigimainoffice665802-5.9.1158-windows-installer.msi
Cincinnati Internal Medicine,https://app.ninjarmm.com/agent/installer/b27c3d35-cd5e-409e-958c-45b31705bd77/cincinnatiinternalmedicinemainofficef0f528-5.9.1158-windows-installer.msi
Cincinnati Surgical,https://app.ninjarmm.com/agent/installer/1713e6e8-2564-41cc-8fe2-c32cb52d2e69/cincinnatisurgicalmainofficedba9bd-5.9.1158-windows-installer.msi
Cintech Construction,https://app.ninjarmm.com/agent/installer/b6290186-253e-475f-b57a-d4207d5c42a3/cintechconstructionmainoffice5a1ee0-5.9.1158-windows-installer.msi
City of Erlanger,https://app.ninjarmm.com/agent/installer/d56b12e9-6f7b-4e41-8709-46f7b10da0db/cityoferlangermainoffice0b4814-5.9.1158-windows-installer.msi
CleanLife,https://app.ninjarmm.com/agent/installer/63f0af9d-d0fa-4b63-9623-45b059ad60af/cleanlifemainofficef4467b-5.9.1158-windows-installer.msi
Clermont County Community Services,https://app.ninjarmm.com/agent/installer/a1769ab2-2ab3-4e5f-a3ef-036133610f3c/clermontcountycommunityservicesmainofficeda0c1e-5.9.1158-windows-installer.msi
Clermont Steel Fabricators,https://app.ninjarmm.com/agent/installer/d0a847d5-fea6-45e1-a35a-89e94cea1a92/clermontsteelfabricatorsmainofficefc4ed3-5.9.1158-windows-installer.msi
Complete Fire Protection,https://app.ninjarmm.com/agent/installer/371fc62c-db5c-4875-9419-fbe3fe38e5b1/completefireprotectionmainoffice108f19-5.9.1158-windows-installer.msi
Compton Point,https://app.ninjarmm.com/agent/installer/bb90798f-5547-48ac-9f48-b3aaffae3379/comptonpointmainoffice56607c-5.9.1158-windows-installer.msi
Conveyor Services Inc.,https://app.ninjarmm.com/agent/installer/73760b47-fb5f-47e3-8981-53d893e648ad/conveyorservicesincmainofficeb918e5-5.9.1158-windows-installer.msi
D & E Equipment,https://app.ninjarmm.com/agent/installer/cb3e8406-e3ee-4c7a-8c59-bfb63d1879bc/deequipmentmainoffice16f8c9-5.9.1158-windows-installer.msi
Dalton Roofing,https://app.ninjarmm.com/agent/installer/28277244-bce1-40ec-877f-119dd4ea0999/daltonroofingmainoffice113c09-5.9.1158-windows-installer.msi
Derrick,https://app.ninjarmm.com/agent/installer/cafed8f0-67c7-4a0c-ba2c-7a5de32e2ff9/derrickmainoffice614659-5.9.1158-windows-installer.msi
Durr Foundation,https://app.ninjarmm.com/agent/installer/4b785f23-29b0-49f6-98b8-99a0046c7b03/durrfoundationmainoffice4568f2-5.9.1158-windows-installer.msi
EAP,https://app.ninjarmm.com/agent/installer/8f8393f8-b8d3-415b-bf8e-ebd32e68cc79/eapmainofficeb146aa-5.9.1158-windows-installer.msi
